x=-174.219046,y=-115.390047,z=0.898959
x=-174.209264,y=-115.356866,z=0.900480
x=-174.199482,y=-115.323685,z=0.902001
x=-174.189701,y=-115.290504,z=0.903522
x=-174.179919,y=-115.257323,z=0.905043
x=-174.170137,y=-115.224142,z=0.906564
x=-174.160356,y=-115.190962,z=0.908085
x=-174.150574,y=-115.157781,z=0.909606
x=-174.140792,y=-115.124600,z=0.911127
x=-174.131011,y=-115.091419,z=0.912648
x=-174.121229,y=-115.058238,z=0.914169
x=-174.111448,y=-115.025057,z=0.915690
x=-174.101666,y=-114.991876,z=0.917211
x=-174.091884,y=-114.958695,z=0.918733
x=-174.082103,y=-114.925514,z=0.920254
x=-174.072321,y=-114.892333,z=0.921775
x=-174.062539,y=-114.859152,z=0.923296
