x=33.634915,y=-9.769938
x=33.839797,y=-9.696009
x=34.043452,y=-9.621358
x=34.245876,y=-9.545982
x=34.447062,y=-9.469880
x=34.647002,y=-9.393048
x=34.845692,y=-9.315485
x=35.043125,y=-9.237187
x=35.239295,y=-9.158153
x=35.434195,y=-9.078380
x=35.627821,y=-8.997866
x=35.820165,y=-8.916609
x=36.011223,y=-8.834605
x=36.200989,y=-8.751854
x=36.389457,y=-8.668351
x=36.576621,y=-8.584096
x=36.762477,y=-8.499086
x=36.947018,y=-8.413318
x=37.130239,y=-8.326790
x=37.312135,y=-8.239501
x=37.492702,y=-8.151447
x=37.671933,y=-8.062626
x=37.849825,y=-7.973037
x=38.026371,y=-7.882677
x=38.201567,y=-7.791543
x=38.375409,y=-7.699634
x=38.547892,y=-7.606947
x=38.719010,y=-7.513481
x=38.888761,y=-7.419233
x=39.057138,y=-7.324200
x=39.224138,y=-7.228382
x=39.389756,y=-7.131775
x=39.553989,y=-7.034378
x=39.716832,y=-6.936188
x=39.878281,y=-6.837204
x=40.038332,y=-6.737424
x=40.196982,y=-6.636845
x=40.354225,y=-6.535466
x=40.510060,y=-6.433284
x=40.664481,y=-6.330298
x=40.817486,y=-6.226506
x=40.969071,y=-6.121905
x=41.119233,y=-6.016495
x=41.267968,y=-5.910273
x=41.415272,y=-5.803237
x=41.561144,y=-5.695385
x=41.705579,y=-5.586717
x=41.848575,y=-5.477229
x=41.990129,y=-5.366920
x=42.130238,y=-5.255790
x=42.268899,y=-5.143835
x=42.406110,y=-5.031054
x=42.541867,y=-4.917447
x=42.676169,y=-4.803010
x=42.809013,y=-4.687743
x=42.940396,y=-4.571644
x=43.070317,y=-4.454711
x=43.198773,y=-4.336943
x=43.325762,y=-4.218340
x=43.451282,y=-4.098898
x=43.575330,y=-3.978617
x=43.697906,y=-3.857496
x=43.819008,y=-3.735533
x=43.938633,y=-3.612727
x=44.056779,y=-3.489077
x=44.173447,y=-3.364581
x=44.288633,y=-3.239239
x=44.402337,y=-3.113049
x=44.514557,y=-2.986010
x=44.625292,y=-2.858121
x=44.734541,y=-2.729381
x=44.842302,y=-2.599789
x=44.948575,y=-2.469345
x=45.053360,y=-2.338046
x=45.156654,y=-2.205893
x=45.258457,y=-2.072885
x=45.358769,y=-1.939020
x=45.457589,y=-1.804298
x=45.554916,y=-1.668718
x=45.650750,y=-1.532280
x=45.745091,y=-1.394983
x=45.837938,y=-1.256826
x=45.929291,y=-1.117809
x=46.019150,y=-0.977931
x=46.107515,y=-0.837192
x=46.194386,y=-0.695592
x=46.279762,y=-0.553129
x=46.363645,y=-0.409805
x=46.446034,y=-0.265617
x=46.526930,y=-0.120567
x=46.606334,y=0.025347
x=46.684244,y=0.172123
x=46.760663,y=0.319763
x=46.835590,y=0.468267
x=46.909027,y=0.617633
x=46.980974,y=0.767864
x=47.051433,y=0.918957
x=47.120403,y=1.070914
x=47.187886,y=1.223733
x=47.253883,y=1.377416
x=47.318395,y=1.531961
x=47.381424,y=1.687368
x=47.442970,y=1.843637
x=47.503036,y=2.000768
x=47.561622,y=2.158759
x=47.618729,y=2.317611
x=47.674361,y=2.477323
x=47.728517,y=2.637894
x=47.781200,y=2.799324
x=47.832412,y=2.961612
x=47.882155,y=3.124756
x=47.930430,y=3.288757
x=47.977239,y=3.453614
x=48.022585,y=3.619324
x=48.066470,y=3.785889
x=48.108895,y=3.953306
x=48.149863,y=4.121574
x=48.189377,y=4.290692
x=48.227439,y=4.460659
x=48.264050,y=4.631474
x=48.299215,y=4.803136
x=48.332935,y=4.975643
x=48.365213,y=5.148993
x=48.396052,y=5.323185
x=48.425455,y=5.498219
x=48.453423,y=5.674091
x=48.479962,y=5.850801
x=48.505072,y=6.028346
x=48.528758,y=6.206725
x=48.551023,y=6.385937
x=48.571869,y=6.565978
x=48.591300,y=6.746849
x=48.609319,y=6.928545
x=48.625929,y=7.111066
x=48.641135,y=7.294409
x=48.654939,y=7.478572
x=48.667345,y=7.663553
x=48.678356,y=7.849349
x=48.687977,y=8.035959
x=48.696210,y=8.223379
x=48.703060,y=8.411608
x=48.708531,y=8.600643
x=48.712626,y=8.790481
x=48.715349,y=8.981120
x=48.716704,y=9.172556
x=48.716696,y=9.364788
x=48.715328,y=9.557812
x=48.712605,y=9.751626
x=48.708530,y=9.946226
x=48.703108,y=10.141610
x=48.696344,y=10.337774
x=48.688241,y=10.534715
x=48.678805,y=10.732431
x=48.668038,y=10.930918
x=48.655947,y=11.130173
x=48.642536,y=11.330192
x=48.627809,y=11.530971
x=48.611770,y=11.732509
x=48.594425,y=11.934800
x=48.575779,y=12.137841
x=48.555835,y=12.341629
x=48.534600,y=12.546160
x=48.512077,y=12.751429
x=48.488272,y=12.957434
x=48.463190,y=13.164171
x=48.436836,y=13.371635
x=48.409215,y=13.579822
x=48.380332,y=13.788728
x=48.350191,y=13.998349
x=48.318800,y=14.208681
x=48.286161,y=14.419720
x=48.252282,y=14.631461
x=48.217167,y=14.843899
