x=-54.999558,y=-45.884810
x=-54.899675,y=-45.879974
x=-54.799792,y=-45.875138
x=-54.699909,y=-45.870302
x=-54.600026,y=-45.865467
x=-54.500143,y=-45.860631
x=-54.400260,y=-45.855795
x=-54.300377,y=-45.850960
x=-54.200494,y=-45.846124
x=-54.100611,y=-45.841288
x=-54.000727,y=-45.836452
x=-53.900844,y=-45.831617
x=-53.800961,y=-45.826781
x=-53.701078,y=-45.821945
x=-53.601195,y=-45.817110
x=-53.501312,y=-45.812274
x=-53.401429,y=-45.807438
x=-53.301546,y=-45.802602
x=-53.201663,y=-45.797767
x=-53.101780,y=-45.792931
x=-53.001897,y=-45.788095
x=-52.902014,y=-45.783260
x=-52.802131,y=-45.778424
