x=-60.521229,y=3.301204
x=-60.508745,y=3.400422
x=-60.496261,y=3.499639
x=-60.483776,y=3.598857
x=-60.471292,y=3.698075
x=-60.458808,y=3.797292
x=-60.446323,y=3.896510
x=-60.433839,y=3.995728
x=-60.421355,y=4.094945
x=-60.408870,y=4.194163
x=-60.396386,y=4.293381
x=-60.383902,y=4.392598
x=-60.371418,y=4.491816
x=-60.358933,y=4.591034
x=-60.346449,y=4.690251
x=-60.333965,y=4.789469
x=-60.321480,y=4.888687
x=-60.308996,y=4.987904
x=-60.296512,y=5.087122
x=-60.284027,y=5.186340
x=-60.271543,y=5.285557
x=-60.259059,y=5.384775
x=-60.246574,y=5.483992
x=-60.234090,y=5.583210
x=-60.221606,y=5.682428
x=-60.209121,y=5.781645
x=-60.205750,y=5.808440
x=-60.197308,y=5.907963
x=-60.172225,y=6.004643
x=-60.131216,y=6.095717
x=-60.075453,y=6.178582
x=-60.006530,y=6.250872
x=-59.999410,y=6.257070
x=-59.919413,y=6.316953
x=-59.832227,y=6.365779
x=-59.739369,y=6.402697
x=-59.642458,y=6.427064
x=-59.543182,y=6.438454
x=-59.470700,y=6.438480
x=-59.370932,y=6.431677
x=-59.271163,y=6.424875
x=-59.171395,y=6.418072
x=-59.071627,y=6.411269
x=-58.971858,y=6.404467
x=-58.872090,y=6.397664
x=-58.772322,y=6.390862
x=-58.672553,y=6.384059
x=-58.572785,y=6.377256
x=-58.473016,y=6.370454
x=-58.373248,y=6.363651
x=-58.273480,y=6.356848
x=-58.173711,y=6.350046
x=-58.073943,y=6.343243
x=-57.974175,y=6.336440
x=-57.930610,y=6.333470
x=-57.830624,y=6.331803
x=-57.730638,y=6.330135
x=-57.630652,y=6.328468
x=-57.530666,y=6.326801
x=-57.430680,y=6.325134
x=-57.330693,y=6.323466
x=-57.230707,y=6.321799
x=-57.130721,y=6.320132
x=-57.030735,y=6.318464
x=-56.930749,y=6.316797
x=-56.830763,y=6.315130
x=-56.730777,y=6.313463
x=-56.630791,y=6.311795
x=-56.530805,y=6.310128
x=-56.430819,y=6.308461
x=-56.330832,y=6.306793
x=-56.230846,y=6.305126
x=-56.130860,y=6.303459
x=-56.030874,y=6.301792
x=-55.930888,y=6.300124
x=-55.830902,y=6.298457
x=-55.830480,y=6.298450
x=-55.730512,y=6.295915
x=-55.630533,y=6.293860
x=-55.530546,y=6.292286
x=-55.430552,y=6.291193
x=-55.330554,y=6.290580
x=-55.230554,y=6.290447
x=-55.130555,y=6.290795
x=-55.030558,y=6.291623
x=-54.930567,y=6.292933
x=-54.830583,y=6.294722
x=-54.730609,y=6.296992
x=-54.630647,y=6.299742
x=-54.530699,y=6.302973
x=-54.430768,y=6.306684
x=-54.330856,y=6.310875
x=-54.230965,y=6.315546
x=-54.131098,y=6.320698
x=-54.031257,y=6.326329
x=-53.931444,y=6.332439
x=-53.831662,y=6.339030
x=-53.731912,y=6.346100
x=-53.632197,y=6.353649
